tx_id,account_id,type,amount,impact,description,timestamp,hash
TXN-5467ABC6C6,SAV-1001,DEPOSIT,15000.0,15000.0,Initial Account Opening Deposit,2026-09-23T06:20:35.171038+00:00,66fc0466965af53e257f5115536ba3e53e6ed886921c6f008091c65aa708f371
TXN-6EAE1C8D4B,SAV-1001,DEPOSIT,2500.0,2500.0,Consulting Retainer,2026-09-23T06:20:35.171038+00:00,6a5f83b5d830876615746b5e3f419cb86b25eee7674513f65a4b12f66a214b56
TXN-3CCC0F80DA,SAV-1001,WITHDRAWAL,1200.0,-1200.0,Hardware Purchase,2026-09-23T06:20:35.171038+00:00,cec38b60b02b09adfc87c2e9a0933db73ee59dbd79585af51ffb8fc13f39b170
TXN-DA6CD7CE54,SAV-1001,WITHDRAWAL,3000.0,-3000.0,Transfer to CHK-2001,2026-09-23T06:20:35.171038+00:00,23e7a9794dc449b2cdb21a65e31dae33b41683e1ed357c633532b6fffb3f6531
TXN-A09F2BE6F6,SAV-1001,INTEREST,55.42,55.42,Monthly Interest Credit for SAVINGS,2026-09-23T06:20:35.171038+00:00,321602eff8c352fd48d44945d64aeb5d662f677c482764deeefe8e0623ea2c83
TXN-FBDDA1A3D0,CHK-2001,DEPOSIT,3500.0,3500.0,Initial Account Opening Deposit,2026-09-23T06:20:35.171038+00:00,9af04d8f8f5df8ab23ff1c8a336606eece7b0ad8f9602da2d9ccc5657fb48b0a
TXN-C21FFAD5A9,CHK-2001,DEPOSIT,4200.0,4200.0,Direct Deposit Payroll,2026-09-23T06:20:35.171038+00:00,33a6cef19c35b37bab454bb6ab65ceac31063398a9ef7593706fcb32d79146d5
TXN-50D11C9FDC,CHK-2001,WITHDRAWAL,1800.0,-1800.0,Office Lease,2026-09-23T06:20:35.171038+00:00,0816eb7a2c46fa3ccc019c1c1764921541f8738e41a0b36e5d042c711d601c99
TXN-8FD2B02DB5,CHK-2001,DEPOSIT,3000.0,3000.0,Transfer received from SAV-1001,2026-09-23T06:20:35.171038+00:00,8e546247ba5fb9a79f8c7faa4ec3bd859bf6aa5ab4bc137bcf5f39870f9836a5
TXN-6F1D3DCD07,INV-3001,DEPOSIT,75000.0,75000.0,Initial Account Opening Deposit,2026-09-23T06:20:35.171038+00:00,a5033fdaa1710450b140e29b53a8d79ae996ddf49f87abc7f70a8e5b2824c9cd
TXN-672C90F6DE,INV-3001,DEPOSIT,10000.0,10000.0,Portfolio Re-investment,2026-09-23T06:20:35.171038+00:00,8bad47c65e520cded7c49eea547da400ea61ca8d0f45218df1fa586a04af6707
TXN-D63AACCD74,INV-3001,INTEREST,566.67,566.67,Monthly Interest Credit for INVESTMENT,2026-09-23T06:20:35.171038+00:00,d6e133b8462bb6326d95bdc174843a3bc08342418e8f9f53e7e36d7b8420616a
TXN-580EA1F51E,BIZ-4001,DEPOSIT,125000.0,125000.0,Initial Account Opening Deposit,2026-09-23T06:20:35.171038+00:00,25e7c90c32da72f510860f1d2de39a8694ab580f9e6b4826b197bd1df64b7785
TXN-069C2B558E,BIZ-4001,WITHDRAWAL,22000.0,-22000.0,Fleet Fuel Invoices,2026-09-23T06:20:35.171038+00:00,11e40c68e35a40be3c4ff8e5469d827077be237b6c6944e94adb45d0276b0fe5
TXN-A5213539FE,BIZ-4001,FEE,25.0,-25.0,Monthly Maintenance Fee for BUSINESS,2026-09-23T06:20:35.171038+00:00,9b501d7bfc31bce752c15fd919220639e73104dc3a196ecbdf87341d350d0174
